product_type;shop_name
electronics;М.Видео
electronics;Эльдорадо
electronics;Ситилинк
electronics;ДНС
electronics;Технопарк
electronics;ReStore
electronics;PiterGSM
clothes;стокманн
clothes;streetbeat
clothes;Wildberries
clothes;спортмастер
clothes;Finn Flare
clothes;lichi
clothes;ТВОЕ
clothes;Ранде Ву
clothes;Яндекс Маркет
food;Перекрёсток
food;Пятёрочка
food;Магнит
food;Ашан
food;Лента
food;Метро Кэш энд Керри
food;Окей
food;Глобус
food;СберМаркет
food;Утконос
food;ВкусВилл
food;Азбука Вкуса
food;Красное & Белое
food;Лента Онлайн